Timestamp,Username,Event,Details
2026-08-12 19:07:57,Gia,Tab Switched,Browser Activity
2026-08-12 19:08:35,Gia,Tab Switched,Browser Activity
2026-08-12 19:24:44,Gia,Tab Switched,Browser Activity
2026-08-12 19:25:48,Gia,Tab Switched,Browser Activity
2026-08-12 19:26:03,Gia,Face Absent,No face detected
2026-08-12 19:26:04,Gia,Face Present,Student returned after 3.4 seconds
2026-08-12 19:26:13,Gia,Face Absent,No face detected
2026-08-12 19:26:15,Gia,Face Present,Student returned after 3.4 seconds
2026-08-12 19:26:17,Gia,Tab Switched,Browser Activity
2026-08-12 19:26:19,Gia,Tab Switched,Browser Activity
2026-08-12 19:26:26,Gia,Face Absent,No face detected
2026-08-12 19:26:26,Gia,Face Present,Student returned after 2.4 seconds
2026-08-12 20:10:58,Gia,Returned to Exam,Browser Activity
2026-08-12 20:11:01,Gia,Tab Switched,Browser Activity
2026-08-12 20:17:13,Riya,Tab Switched,Browser Activity
2026-08-12 20:17:27,Riya,Tab Switched,Browser Activity
2026-08-12 20:17:31,Riya,Returned to Exam,Browser Activity
2026-08-12 20:19:52,Priya,Tab Switched,Browser Activity
2026-08-12 20:20:19,Priya,Returned to Exam,Browser Activity
2026-08-12 20:20:20,Priya,Tab Switched,Browser Activity
2026-08-12 20:20:36,Priya,Tab Switched,Browser Activity
2026-08-12 20:20:37,Priya,Returned to Exam,Browser Activity
2026-08-12 20:20:45,Priya,Tab Switched,Browser Activity
2026-08-12 20:20:45,Priya,Returned to Exam,Browser Activity
2026-08-12 20:20:46,Priya,Tab Switched,Browser Activity
2026-08-12 20:21:10,Priya,Returned to Exam,Browser Activity
2026-08-12 20:21:12,Priya,Tab Switched,Browser Activity
2026-08-12 20:21:18,Priya,Returned to Exam,Browser Activity
2026-08-12 20:21:19,Priya,Tab Switched,Browser Activity
2026-08-12 20:21:23,Priya,Returned to Exam,Browser Activity
2026-08-12 20:21:25,Priya,Tab Switched,Browser Activity
2026-08-12 20:21:29,Priya,Tab Switched,Browser Activity
2026-08-12 20:21:34,Priya,Returned to Exam,Browser Activity
2026-08-12 20:21:56,Tina,Tab Switched,Browser Activity
2026-08-12 20:22:12,Tina,Tab Switched,Browser Activity
2026-08-12 20:22:20,Tina,Returned to Exam,Browser Activity
2026-08-12 20:22:35,Gina,Tab Switched,Browser Activity
2026-08-12 20:22:49,Gina,Tab Switched,Browser Activity
2026-08-12 20:22:51,Gina,Returned to Exam,Browser Activity
2026-08-12 20:23:52,Gina,Multiple Faces,More than one face detected
2026-08-12 20:24:03,Gina,Tab Switched,Browser Activity
2026-08-12 20:24:04,Gina,Returned to Exam,Browser Activity
2026-08-12 20:24:36,Hira,Tab Switched,Browser Activity
2026-08-12 20:24:38,Hira,Tab Switched,Browser Activity
2026-08-12 20:24:39,Hira,Returned to Exam,Browser Activity
2026-08-12 20:24:40,Hira,Tab Switched,Browser Activity
2026-08-12 20:24:41,Hira,Returned to Exam,Browser Activity
2026-08-12 20:24:57,Hira,Multiple Faces,More than one face detected
2026-08-12 20:25:02,Hira,Tab Switched,Browser Activity
2026-08-12 20:25:04,Hira,Returned to Exam,Browser Activity
2026-08-18 18:58:19,Gia,Tab Switched,Browser Activity
2026-08-18 18:58:56,Gia,Tab Switched,Browser Activity
2026-08-18 18:58:58,Gia,Returned to Exam,Browser Activity
2026-08-18 18:59:03,Gia,Tab Switched,Browser Activity
2026-08-18 18:59:03,Gia,Returned to Exam,Browser Activity
2026-08-18 18:59:09,Gia,Tab Switched,Browser Activity
2026-08-18 18:59:16,Gia,Tab Switched,Browser Activity
2026-08-18 18:59:19,Gia,Returned to Exam,Browser Activity
2026-08-18 18:59:21,Gia,Tab Switched,Browser Activity
2026-08-18 18:59:57,Gia,Returned to Exam,Browser Activity
2026-08-18 19:00:02,Gia,Tab Switched,Browser Activity
2026-08-18 19:01:15,Gia,Returned to Exam,Browser Activity
2026-08-18 19:01:18,Gia,Tab Switched,Browser Activity
2026-08-18 19:04:18,Gia,Returned to Exam,Browser Activity
2026-08-18 19:04:19,Gia,Tab Switched,Browser Activity
2026-08-18 19:21:43,Gia,Returned to Exam,Browser Activity
2026-08-18 20:41:11,Gia,Tab Switched,Browser Activity
2026-08-18 20:41:51,Gia,Returned to Exam,Browser Activity
2026-08-18 20:41:58,Gia,Tab Switched,Browser Activity
2026-08-18 22:07:10,Gia,Tab Switched,Browser Activity
2026-08-18 22:07:16,Gia,Returned to Exam,Browser Activity
2026-08-18 22:07:18,Gia,Tab Switched,Browser Activity
2026-08-18 22:07:36,Gia,Returned to Exam,Browser Activity
2026-08-18 22:07:38,Gia,Tab Switched,Browser Activity
2026-08-18 22:07:44,Gia,Tab Switched,Browser Activity
2026-08-18 22:07:59,Gia,Returned to Exam,Browser Activity
2026-08-18 22:08:00,Gia,Tab Switched,Browser Activity
2026-08-18 22:08:01,Gia,Returned to Exam,Browser Activity
2026-08-18 22:08:59,Gia,Tab Switched,Browser Activity
2026-08-18 22:09:04,Gia,Returned to Exam,Browser Activity
2026-08-18 22:09:12,Gia,Tab Switched,Browser Activity
2026-08-18 22:09:52,Gia,Tab Switched,Browser Activity
2026-08-18 22:09:55,Gia,Returned to Exam,Browser Activity
2026-08-18 22:09:58,Gia,Tab Switched,Browser Activity
2026-08-18 22:30:39,Gia,Returned to Exam,Browser Activity
2026-08-18 22:30:40,Gia,Tab Switched,Browser Activity
2026-08-18 22:33:15,Gia,Returned to Exam,Browser Activity
2026-08-18 22:33:17,Gia,Tab Switched,Browser Activity
2026-08-18 22:33:18,Gia,Returned to Exam,Browser Activity
2026-08-18 22:33:19,Gia,Tab Switched,Browser Activity
2026-08-18 22:33:34,Gia,Returned to Exam,Browser Activity
2026-08-18 22:33:35,Gia,Tab Switched,Browser Activity
2026-08-19 18:34:02,Kishan,Tab Switched,Browser Activity
2026-08-19 18:35:34,Raju,Face Absent,No face detected
2026-08-19 18:35:35,Raju,Face Present,Student returned after 2.7 seconds
2026-08-19 18:35:39,Raju,Tab Switched,Browser Activity
2026-08-19 18:35:45,Raju,Returned to Exam,Browser Activity
2026-08-19 18:37:06,Raju,Tab Switched,Browser Activity
2026-08-19 18:45:50,Raju,Tab Switched,Browser Activity
2026-08-19 18:46:19,Raju,Tab Switched,Browser Activity
2026-08-19 18:46:40,Raju,Tab Switched,Browser Activity
2026-08-19 18:46:41,Raju,Returned to Exam,Browser Activity
2026-08-19 18:46:46,Raju,Tab Switched,Browser Activity
2026-08-19 18:46:56,Raju,Returned to Exam,Browser Activity
2026-08-19 18:47:17,Raju,Tab Switched,Browser Activity
2026-08-19 18:47:38,Raju,Returned to Exam,Browser Activity
2026-08-19 18:47:58,Raju,Tab Switched,Browser Activity
2026-08-19 18:48:14,Gia,Tab Switched,Browser Activity
2026-08-19 18:51:59,Gia,Returned to Exam,Browser Activity
2026-08-19 18:51:59,Gia,Tab Switched,Browser Activity
2026-08-19 19:09:30,Gia,Returned to Exam,Browser Activity
2026-08-19 19:10:53,Raju,Tab Switched,Browser Activity
2026-08-19 19:11:23,Raju,Face Absent,No face detected
2026-08-19 19:11:23,Raju,Face Present,Student returned after 2.1 seconds
2026-08-19 19:11:32,Raju,Tab Switched,Browser Activity
2026-08-19 19:11:36,Raju,Returned to Exam,Browser Activity
2026-08-19 19:11:39,Raju,Tab Switched,Browser Activity
2026-08-19 19:11:49,Raju,Tab Switched,Browser Activity
2026-08-19 19:20:01,Raju,Face Absent,No face detected
2026-08-19 19:20:01,Raju,Face Present,Student returned after 2.1 seconds
2026-08-19 19:23:43,Raju,Tab Switched,Browser Activity
2026-08-20 18:19:24,Raju,Tab Switched,Browser Activity
2026-08-20 18:19:41,Raju,Returned to Exam,Browser Activity
2026-08-20 18:19:45,Raju,Tab Switched,Browser Activity
2026-08-20 18:20:09,Raju,Face Absent,No face detected
2026-08-20 18:20:14,Raju,Tab Switched,Browser Activity
2026-08-20 18:20:19,Raju,Returned to Exam,Browser Activity
2026-08-20 18:20:24,Raju,Tab Switched,Browser Activity
2026-08-20 18:20:58,Raju,Returned to Exam,Browser Activity
2026-08-20 18:21:08,Raju,Tab Switched,Browser Activity
2026-08-20 18:21:25,Raju,Returned to Exam,Browser Activity
2026-08-20 18:21:27,Raju,Tab Switched,Browser Activity
2026-08-20 18:21:51,Raju,Returned to Exam,Browser Activity
2026-08-20 18:21:52,Raju,Tab Switched,Browser Activity
2026-08-20 18:21:54,Raju,Returned to Exam,Browser Activity
2026-08-20 18:22:00,Raju,Tab Switched,Browser Activity
2026-08-20 19:16:39,Priya,Tab Switched,Browser Activity
2026-08-20 19:17:01,Priya,Tab Switched,Browser Activity
2026-08-20 19:17:02,Priya,Returned to Exam,Browser Activity
2026-08-20 19:17:11,Priya,Tab Switched,Browser Activity
2026-08-20 19:17:33,Priya,Returned to Exam,Browser Activity
2026-08-20 19:17:39,Priya,Tab Switched,Browser Activity
2026-08-20 19:17:40,Priya,Returned to Exam,Browser Activity
2026-08-20 19:17:42,Priya,Tab Switched,Browser Activity
2026-08-20 19:33:49,Kishan,Tab Switched,Browser Activity
2026-08-20 19:34:00,Kishan,Face Absent,No face detected
2026-08-20 19:34:00,Kishan,Face Present,Student returned after 2.5 seconds
2026-08-20 19:34:07,Kishan,Face Absent,No face detected
2026-08-20 19:34:08,Kishan,Face Present,Student returned after 3.6 seconds
2026-08-20 19:34:12,Kishan,Tab Switched,Browser Activity
2026-08-20 19:34:17,Kishan,Returned to Exam,Browser Activity
2026-08-20 19:34:25,Kishan,Tab Switched,Browser Activity
2026-08-24 13:37:39,Gia,Tab Switched,Browser Activity
2026-08-24 13:37:40,Gia,Returned to Exam,Browser Activity
2026-08-24 13:37:41,Gia,Tab Switched,Browser Activity
2026-08-24 14:02:51,Tina,Tab Switched,Browser Activity
2026-08-24 15:14:59,Tina,Tab Switched,Browser Activity
2026-08-24 15:35:16,Tina,Tab Switched,Browser Activity
2026-08-24 22:52:28,Tina,Tab Switched,Browser Activity
2026-08-24 23:07:45,Tina,Tab Switched,Browser Activity
2026-08-24 23:27:10,Tina,Tab Switched,Browser Activity
2026-08-25 13:39:44,Tina,Tab Switched,Browser Activity
2026-08-25 13:43:18,Tina,Returned to Exam,Browser Activity
2026-08-25 14:04:28,Tina,Tab Switched,Browser Activity
2026-08-25 14:04:48,Tina,Face Absent,No face detected
