Username,Score,Total Questions,Submitted At
Gia,4,4,2026-08-26 09:53:52
Gia,4,4,2026-08-26 19:05:22
Gia,4,4,2026-08-26 19:59:03
Gina,4,4,2026-08-26 23:12:38
Gia,4,4,2026-08-26 23:53:41
Tina,4,4,2026-08-27 08:36:53
Tina,4,4,2026-08-27 10:01:02
Hira,4,4,2026-08-27 10:10:37
Hira,4,4,2026-08-27 10:12:49
Hira,4,4,2026-08-27 10:17:56
Hira,4,4,2026-08-27 18:00:53
Hira,4,4,2026-08-27 18:47:18
Kishan,4,4,2026-08-27 18:50:04
Kishan,4,4,2026-08-27 18:55:50
Kishan,4,4,2026-08-27 19:06:45
Hira,4,4,2026-08-27 19:19:10
Hira,4,4,2026-08-30 11:46:49
Hira,4,4,2026-08-31 14:17:21
Hira,4,4,2026-08-31 14:54:06
Hira,4,4,2026-08-31 15:05:00
Priya,4,4,2026-08-31 19:14:44
Riya,4,4,2026-09-02 15:47:52
Priya,4,4,2026-09-02 16:10:07
Priya,4,4,2026-09-06 20:51:12
Priya,4,4,2026-09-06 22:27:51
Priya,4,4,2026-09-06 22:51:17
Priya,4,4,2026-09-06 22:57:56
Priya,4,4,2026-09-06 23:03:39
Riya,4,4,2026-09-06 23:10:35
Riya,4,4,2026-09-06 23:27:20
Riya,3,4,2026-09-06 23:38:16
Riya,3,4,2026-09-06 23:38:16
Riya,4,4,2026-09-06 23:38:39
Riya,4,4,2026-09-06 23:38:39
Riya,4,4,2026-09-06 23:38:40
Riya,0,4,2026-09-06 23:40:07
Riya,4,4,2026-09-06 23:46:48
Riya,4,4,2026-09-06 23:46:48
Kishan,0,4,2026-09-08 15:35:14
Gina,4,4,2026-09-08 15:38:46
Hira,4,4,2026-09-08 16:34:55
Hira,4,4,2026-09-08 16:52:29
Tina,4,4,2026-09-08 17:01:15
Gia,4,4,2026-09-08 17:37:35
Nita,4,4,2026-09-09 18:07:50
Nita,4,4,2026-09-09 18:16:39
Priyanka,3,4,2026-09-09 18:27:31
